book_id,title,author,genre,description
1,The Great Gatsby,F. Scott Fitzgerald,Classic,"A story about the Jazz Age and the decline of the American Dream."
2,Pride and Prejudice,Jane Austen,Romance,"A romantic novel of manners set in early 19th century England."
3,1984,George Orwell,Dystopian,"A chilling prophecy about totalitarianism and mass surveillance."
4,To Kill a Mockingbird,Harper Lee,Classic,"A young girl's view of racial injustice in the Deep South."
5,Brave New World,Aldous Huxley,Dystopian,"A futuristic society driven by technology and social engineering."
6,Moby-Dick,Herman Melville,Adventure,"A sailor's narrative of the obsessive quest to hunt a giant white whale."
7,The Catcher in the Rye,J.D. Salinger,Classic,"A young man's experiences of alienation and rebellion."
8,Jane Eyre,Charlotte Bronte,Romance,"A young woman's journey to find love and independence."
9,The Hobbit,J.R.R. Tolkien,Fantasy,"A hobbit's adventure to reclaim a treasure guarded by a dragon."
10,The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,"The first part of the epic journey to destroy the One Ring."
11,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,"A young wizard's first year at Hogwarts School of Witchcraft and Wizardry."
12,The Da Vinci Code,Dan Brown,Thriller,"A symbologist uncovers secrets hidden in works of art."
13,Angels and Demons,Dan Brown,Thriller,"A race against time to stop a secret society from destroying the Vatican."
14,The Alchemist,Paulo Coelho,Philosophical,"A shepherd's journey to find his personal legend."
15,The Kite Runner,Khaled Hosseini,Drama,"A story of friendship, betrayal, and redemption in Afghanistan."

